orderId,Time,Product,num,price,cost,note,done
14,2025-11-22T03:46:40.085Z,Gateu,1,250,0,,true
12,2025-11-22T03:44:40.407Z,Tea_Ice,1,350,0,,true
11,2025-11-22T03:41:57.975Z,Lemonade,1,300,0,,true
10,2025-11-22T03:41:47.817Z,Financier,1,250,0,,true
10,2025-11-22T03:41:45.190Z,Gateu,1,250,0,,true
10,2025-11-22T03:41:30.772Z,Lemonade,1,300,0,,true
10,2025-11-22T03:41:27.770Z,Tea_Hot,1,350,0,,true
9,2025-11-22T03:05:36.486Z,Financier,1,250,0,,true
9,2025-11-22T03:05:18.069Z,Tea_Hot,1,350,0,,true
8,2025-11-22T02:53:14.400Z,Lemonade,1,300,0,,true
7,2025-11-22T02:49:10.879Z,Financier,1,250,0,,true
7,2025-11-22T02:49:02.703Z,Tea_Hot,1,350,0,,true
6,2025-11-22T02:44:58.849Z,Lemonade,1,300,0,,true
5,2025-11-22T02:34:57.306Z,Tea_Hot,1,350,0,,true
3,2025-11-22T02:02:02.552Z,Financier,1,250,0,,true
3,2025-11-22T02:01:47.115Z,Gateu,1,250,0,,true
3,2025-11-22T02:01:38.454Z,Tea_Hot,2,350,0,,true
3,2025-11-22T01:19:37.403Z,Tea_Hot,1,350,0,,true
2,2025-11-22T01:11:59.282Z,Gateu,1,250,0,,true
2,2025-11-22T01:11:50.536Z,Tea_Hot,3,350,0,,true
1,2025-11-22T01:11:24.394Z,Tea_Hot,1,350,0,,true
